gherkin	(酢づけにする)小キュウリ
dapsone	ダプソン
crape	クレープ|クレープの喪章|ちりめん|縮らせる|crape myrtle百日紅(サルスベリ)
mouldy	=moldy
floc	a small loosely aggregated mass of flocculent material suspended in or precipitated from a liquid
softie	気が弱い人|人の言いなりになる人
fisc	a state treasury or exchequer or a royal treasury; originally the public treasury of Rome or the emperor's private purse|a state treasury or exchequer or a royal treasury|originally the public treasury of Rome or the emperor's private purse
unashamed	臆面もない
dismantlement	解体|分解
hydroplane	水上滑走艇|水上飛行機(seaplane)
perpendicularly	垂直|垂直
downwardly	下向き|下方へ|下に|下へ
geniculate	膝状体
teatime	(午後の)お茶の時間
stainer	a worker who stains (wood or fabric)
woodenware	木製台所用品(木ざら・木さじなど)
pushover	くみしやすい相手|カモ
packable	capable of being packed
breathy	気息音の交じる|息遣いが聞こえる
hysteric	=hysterical|《複数形で》ヒステリーの発作|〈C〉ヒステリー患者
pashtun	a member of the mountain people living in the eastern regions of Afghanistan; "Pathans are the predominant ethnic group in Afghanistan"|a member of the mountain people living in the eastern regions of Afghanistan|an ethnic minority speaking Pashto and living in northwestern Pakistan and southeastern Afghanistan
clast	(geology) a constituent fragment of a clastic rock|a constituent fragment of a clastic rock
khat	カート|チャット|カット
exultation	(〜での)大きな喜び《+『at』+『名』》(〜に対する)勝ち誇った気持ち《+『over』+『名』》
selfsame	全く同一の
glaucous	《文》淡い青緑色の|(ぶどうなど)白い粉の吹いた|白色を帯びた
grovel	腹ばう|ひれ伏す|屈服する|卑屈な態度をとる
soberly	真面目に|冷静に|酔わないで
pulverize	(議論などを)粉砕する|粉にする|粉々に砕く|液体を霧状にする
launderette	洗濯屋
subsidisation	下付金|交附|下げ渡し|供与|附与|施与|下渡し|恵賜|交付金|付与
knobby	でこぼこの|こぶだらけの
curmudgeonly	気難しい|荒々しい|不機嫌
schmaltz	過度の感傷主義|感傷性
fetid	強い悪臭を放つ|臭い
singleness	単独;独身|専念|専心
kaput	やられて|だめになって|ぶちこわされて
tailspin	きりもみ降下(落下)|(経済的)混乱|狼狽|動揺
blackface	黒綿羊(くろめんよう)|黒人に扮した役者|肉太活字(の)
indefiniteness	不確定|不定
windsock	(風向表示用の)吹き流し(空港などに設置される筒状の布製風見)
yearning	切望している|あこがれる|あこがれ|同情
hydric	having or characterized by excessive moisture; "a hydric habitat"|having or characterized by excessive moisture
dphil	a British doctorate
remise	譲与|譲与|譲与
unquiet	平静でない|落着きのない|不安な
herbage	草|(特に)牧草|(草の)葉と茎
fluorosis	a pathological condition resulting from an excessive intake of fluorine (usually from drinking water)
twaddle	無駄口
running	走ること|走力|経営|管理|運転|走る|現行の|広まっている|(植物が)つる性の
chanterelle	アンズタケ(黄色の食用キノコ)
unutterable	言いようのない|言語に絶する|発音できない
cero	large edible mackerel of temperate United States coastal Atlantic waters|large mackerel with long pointed snout; important food and game fish of the eastern Atlantic coast southward to Brazil|large mackerel with long pointed snout|important food and game fish of the eastern Atlantic coast southward to Brazil
proserpine	goddess of the underworld; counterpart of Greek Persephone|goddess of the underworld|counterpart of Greek Persephone
diarrhoeal	下痢性
iodize	ヨード化|ヨード化
beefeater	ロンドン塔の守衛|英国王の護衛兵(yeoman of the [English royal] guard)|牛肉を食べる人
inelegant	優美でない
shoehorn	靴べら|詰め込む|押し込む|(何かにフィットするように)合わせる
facially	with respect to the face
veep	(vice presidentの頭の文字から)副大統領
poppycock	ばかげた話|たわごと
nebular	星雲の;星雲状の
colorimeter	比色計
taciturn	口数が少ない
enumerable	枚挙可能な
translocase	トランスロカーゼ(酵素)|転位酵素
haemodialysis	人工透析|血液透析
eutrophic	(湖が)富栄養の|(動植物の)栄養物が豊かな
laterality	左右差
superpose	(〜の上に)〜‘を'重ねて置く《+名+on(upon)+名》|(幾何で)〈図形〉‘を'重ね合わせる
allemande	アルマンドソース|アルマンド
betrothal	婚約
nippy	(幼児語)おしゃぶり(=pacifier)|すばしこい|厳しい
trimaran	三胴船
spliff	合わせ目|付け根|継ぎ目|継目|ジョイント
boorish	百姓風の|野卑な|無骨な|無粋な
crampon	つかみ金(氷・材木・石などの重い物をつかむ)|《複数形で》(また『climbing irons』)アイゼン|鉄かんじき
glaciology	氷河学
millpond	(水車用)貯水池|水車池
gullibility	だまされやすいこと
vasotec	エナラプリル
aeromedical	of or relating to aviation medicine
densitometer	(写真現像の)濃度計
barmy	愚かな|少し気が変な(《米》balmy)
unclog	〜‘から'障害を除く|‘の'じゃまをなくす
aorist	a verb tense in some languages (classical Greek and Sanskrit) expressing action (especially past action) without indicating its completion or continuation
microtiter	マイクロタイター
butyric	relating to or producing butyric acid
oestradiol	エストラジオール
ignoramus	無学な人
lambchop	ラムチョップ
meningeal	relating to the meninges
melancholia	憂うつ病|憂鬱病
adz	手斧
pilothouse	(船の)操舵(そうだ)室
skitter	水面すれすれに飛ぶ|速やかに進む|流し釣りをする
welshman	カンブリア紀
maalox	an antacid
chenopodium	goosefoot; pigweed|goosefoot|pigweed
unrepresentative	not exemplifying a class; "I soon tumbled to the fact that my weekends were atypical"; "behavior quite unrepresentative (or atypical) of the profession"|not exemplifying a class
keratinocyte	ケラチノサイト|角質細胞|ケラチン生成細胞|角化細胞|ケラチン細胞
gynaecologist	婦人科医
mordant	辛らつな|皮肉な|刺すように鋭い|ヒリヒリする|色止め料|粘着剤|腐食剤で処理する
pinniped	アシカ亜目
computerize	コンピュータ化する
torturer	苦しめる人|拷問にかける人|拷問者
correlational	相関的
somnolence	傾眠(始終眠気を催す状態)
irreparably	in an irreparable manner or to an irreparable degree
fauntleroy	小公子
diagonalization	対角化
edger	a person who puts finishing edges on a garment|garden tool for cutting grass around the edges of a yard
caplin	カラフトシシャモ
diatomic	(1分子中に)2原子の(を含む)
pharmacologist	薬理学者|薬物学者
romansh	ロマンシュ語
pinstriped	極細縞の|(極細縞の服を着る)実業家|弁護士|銀行家の|金持の
kittiwake	ミツユビカモメ(長い翼を持つ鳥)
vitalize	give life to; "The eggs are vitalized"|give life to|make more lively or vigorous; "The treatment at the spa vitalized the old man"|make more lively or vigorous
oddness	風変わり
mafioso	マフィアの一員
dormouse	ヤマネ(リスに似たネズミで冬眠する)
smidgen	ほんの少し|ごくわずか(の量)|ごく少量|みじん|非常に小さなもの|非常に小柄な人
bunion	腱膜瘤(足の親指の内側にできるはれ物)
snobbish	俗物の
haymaker	干し草を作る人(機械)|《米話》強烈な一撃
anodyne	鎮痛薬
cultic	熱狂的な|狂信的な
intension	(精神の)緊張|努力|強度|激しさ|猛烈さ
geometer	フユシャク
wholemeal	全麦
merchantable	販売用の|売り物になる
dearie	deary|かわいい人|(ねえ)あなた|darling|dear
cloaca	下水|便所
terrorise	恐怖で圧倒する|脅しつける|脅し付ける
nonlethal	not capable of causing death
comeuppance	当然の罰(報い)
unfailingly	without fail
disbar	〜‘の'弁護士の資格をはく奪する
geum	ダイコンソウ属
wive	〜‘を'めとる|妻帯する
finny	漁の|魚がたくさんいる|ひれのような|ひれのある
fenland	渥地|沢|沼沢|沼|湫|沼池|湿地草原|湿原|沼地|沼沢地
hyperopia	遠視
yodel	ヨーデル|歌う(ヨーデル調で)
xliv	being four more than forty
jazzercise	ジャザサイズ(ダンスのフィットネスプログラム)
ndebele	ヌデベレ
caff	informal British term for a cafe
ultramodern	超近代的な
conjectural	憶測上の
rumination	反芻|沈思|黙考
castanea	chestnuts; chinkapins|chestnuts|chinkapins
auscultation	聴診
stater	any of the various silver or gold coins of ancient Greece|a resident of a particular state or group of states; "Keystone stater"; "farm staters"|a resident of a particular state or group of states
cymbidium	シュンラン属|シンビジウム
hydrosphere	(地球の)水圏|(大気中の)水気
raconteur	話しじょうず
ulmus	type genus of family Ulmaceae; deciduous trees having simple serrate leaves; widely distributed in temperate regions|type genus of family Ulmaceae|deciduous trees having simple serrate leaves|widely distributed in temperate regions
stopcock	コックのせん(turncock)
misogynist	女嫌いの人
spiff	きちんとした(気の利いた)ものにする|めかす(up)
pieta	ピエロ(キリストの遺体をひざにだいて嘆く聖母マリアの絵や像)
familiarisation	the experience of becoming familiar with something
idler	怠け者|なまけ者|役立たず
quintuple	5倍の|5重の;5部(5人)からなる|5倍|5倍の量(数)|5倍になる|〜‘を'5倍にする
shrubby	of or relating to or resembling a shrub
repetitively	in a repetitive manner; "this type of border display is used repetitively in advertising"|in a repetitive manner
castigate	厳しく罰する|きびしく非難する|添削する
compulsorily	強制的に|義務的に
packhorse	(荷物を運搬する)駄馬(だば)
drosera	毛氈苔
effusive	感情むき出しの
centaurea	knapweed; star thistle|knapweed|star thistle
sapsucker	シルスイキツツキ(くちばしで穴をあけ樹液を吸うキツツキ)
yearend	年末の
dutiable	(輸入品などが)関税を課せられる|有税の
cubical	=cubic1
gallina	small Asiatic wild bird; believed to be ancestral to domestic fowl|small Asiatic wild bird|believed to be ancestral to domestic fowl
supernumerary	規定数以上の|定員外の|(せりふのない)端役(人)
photosensitivity	放射線感受性|感光性
tortfeasor	a party who has committed a tort
loden	ローデン(オーバーコートなどに用いる厚い防水布地)
biaxial	having two axes; "biaxial crystals"|having two axes
duplicitous	二枚舌の|不誠実な|いかさまの
lorre	ローレ
flintlock	(昔の銃の)火打ち石式発火装置|火打ち石銃
cissy	=sissy
catacomb	地下墓地
nyala	ニヤラ
atonal	(音楽)無調の|調子のない
ploidy	倍数性
teleplay	テレビドラマ
audiometer	聴力測定器
anteriorly	前方に
unpredictably	気まぐれに|意表を突いて
diachronic	史的|歴史的
cefotaxime	セフォタキシム
spendthrift	金使いの荒い人|金使いの荒い
dagan	god of agriculture and earth; counterpart of Phoenician Dagon|god of agriculture and earth|counterpart of Phoenician Dagon
dateless	無限|永遠
standee	(劇場・汽車・バスなどで席がなく)立っている人
handwork	手製|手細工
pedicel	小花柄|小花梗(こう)(大きい花柄から分れて一つの花をつけている小さい花柄)|(昆虫や海洋生物の)柄|肉茎
poach	密猟する|他人の土地などに侵入する|(人の考えなどを)不正手段で盗む|(卵を)割って熱湯の中でゆでる|(魚などを)ゆでる
proscenium	プロセニアム|前舞台|幕の前部|前景
emotionless	unmoved by feeling; "he kept his emotionless objectivity and faith in the cause he served"; "this passionless girl was like an icicle in the sunshine"-Margaret Deland|unmoved by feeling
lashing	笞刑|鞭打ち|むち打ち
cephalosporin	セファロスポリン
muckraker	醜聞をあさる人|不正追及･摘発者
armyworm	ヨトウムシ(夜盗蛾の幼虫;農作物害虫)
polarize	対立する|二極間に分かれる|極性をもつ
cantabile	(演奏の指示で)カンタービレ|歌うような調子の(で)|カンタービレの曲
mollify	和らげる|軽減する
saami	ラップ|さあ美|左雨|ラップ|さあ美|左雨
thyroglobulin	サイログロブリン|チログロブリン
tablespoonful	(〜の)大さじ1杯[分](小さじ3杯分)《+of+名》
gasworks	ガス工場|ガス製造所
selflessly	無私
piroxicam	ピロキシカム
academical	=academic|《複数形で》大学の式服
valueless	価値のない|つまらない
imperceptibly	気付かれないほどに|いつのまにか
phentolamine	フェントラミン
adobo	a dish of marinated vegetables and meat or fish; served with rice|a dish of marinated vegetables and meat or fish|served with rice
whish	ピュー(スー)という音|ピュー(スー)と鳴る(動く)
spirochete	スピロヘータ|らせん状の形態をしたグラム陰性の真正細菌の一グループ|(Spiro=らせん状の)
brilliancy	=brilliance
monoclinic	単斜
tike	tyke
terbinafine	テルビナフィン|ラミシール
traitorous	反逆的|裏切りの
sandlot	(一般の人が楽しむ)スポーツ用の砂地|スポーツの|アマチュアスポーツの
tetralogy	四徴 (病気の特徴を示す4種類の徴候)|四幕|オペラ|小説などの四幕構成
candour	単刀直入|直情|真率|虚心担懐|直|赤裸|剥き出し
mattock	根掘りぐわ(一種のつるはし)
unitard	レオタード
kerchief	ネッカチーフ(neckerchief)|ハンカチ(handkerchief)
matriculate	(試験の結果によって)〈人〉‘に'大学の入学を許す|(大学に)入学資格を得るための試験を受ける《+『at』(『in』)+『名』》
scorekeeper	(競技などの)公式記録員|スコアラー
carbonara	カルボナーラ
greenhorn	経験のない|初心者|だまされやすい人
highlife	《しばしばthe~》上流社会の生活|西アフリカの強烈なリズムの踊り
roadbed	(鉄道の)路盤;(道路の)路床
remunerative	引き合う|益になる
pendulous	ぶら下がっている
moneymaking	金がもうかる|金もうけのできる|金もうけ
mourner	哀悼者|会葬者|ざんげ者
gastrectomy	胃切除術
inconsiderable	重要でない|取るに足りない|ささいな
bricklaying	れんが積み[の仕事]
statice	スターチス
sallow	(皮膚などが)黄ばんだ|血色の悪い|土色になる|(植物)サルヤナギ
allmusic	音楽ガイド
polygamist	一夫多妻者|一妻多夫者
polytetrafluoroethylene	ポリテトラフルオロエチレン
ungreased	not lubricated
thiosulfate	チオ硫酸塩|チオ硫酸塩は自然に存在する化学物質で|「チオ」は硫酸イオンの酸素原子が硫黄原子で置換された「S₂O₃²⁻」 を含む塩を示す
sharecropper	小作人
ostentation	見せびらかし|見栄
tetrahymena	テトラヒメナ|水中に生息する繊毛虫で多数の繊毛で運動する|細胞核のうち大核には染色体の末端が多数あり|テロメア研究のモデルに用いられる
linguini	リングイーネ
stodgy	つまらない|重苦しい|不消化の
shipowner	船主
affiant	宣誓人
wrathful	激怒した
vasoconstrictor	血管収縮薬
mefloquine	メフロキン(抗マラリア剤|内服する)
ascidian	minute sedentary marine invertebrate having a saclike body with siphons through which water enters and leaves
diddly	ジャック
clarinetist	a musician who plays the clarinet
oncidium	オンシジューム
ojibway	チペワ川|チペワ川
glockenspiel	鉄琴|グロッケンシュピール
ghat	ガート|インド|ガンジス川下流のバラナシ市の川へ下る階段状の地形|沐浴する聖なる場所
intensional	used of the set of attributes that distinguish the referents of a given word
congregant	a member of a congregation (especially that of a church or synagogue)
cobia	large dark-striped tropical food and game fish related to remoras; found worldwide in coastal to open waters|large dark-striped tropical food and game fish related to remoras|found worldwide in coastal to open waters
isothiocyanate	イソチオシアネート
murre	ウミガラス
stickleback	トゲウオ(ひれにとげのある魚)
cockerel	(特に生後1年以内の)若いおんどり
pothead	マリファナ常用者
lopressor	メトプロロール
mummer	無言劇の役者|役者
friendless	孤独
proboscis	(ゾウなどの)鼻|(昆虫などの)吻(ふん)|(口)(人間の)大きい鼻
wholehearted	心を込めた|心からの
bedsit	a furnished sitting room with sleeping accommodations (and some plumbing)
fitful	発作的な|変わりやすい
unstressed	(音声が)アクセントのない;強調されない
unquestioning	疑わない;無条件の
aquatint	〈U〉アクアチント(食刻板画法の一種)|〈C〉アクアチント版画
desultory	気まぐれな|とりとめのない|散慢な|とびとびの|脱線的な
abstractor	one who makes abstracts or summarizes information
pitifully	哀れなほどに|くだらないほど
menacingly	in a menacing manner; "the voice at the other end of the line dropped menacingly"|in a menacing manner
ambiguously	茫然たる
withe	(柳などの)細枝(まきなどを束ねる材料)
seasickness	船酔い
disincline	嫌気をおこさせる
codicil	遺言書の補足条項;(一般に)補足
sonatina	ソナチネ
cefuroxime	セフロキシム
puerile	たわいもない|子供の(らしい)
pharmacopeia	定式|薬局方
editorially	社説で|編集者として
ambulation	walking about; "the hospital encouraged early ambulation"|walking about
improver	人道主義者|添|添加物|プラス|付けたし|付たり|増加|添え物|添えもの|添加|付加
worthlessness	甲斐無さ|味噌っかす|無価値|無用|味噌っ滓|味噌滓|詰まらなさ|みそっ滓|味噌かす|つまらなさ
vermicelli	バーミセリ|麺類
lubricator	滑らかにする人(もの);潤滑装置|注油器
equalise	同点にする|同点になる|匹敵|平均|対抗
westernize	make western in character; "The country was Westernized after it opened up"|make western in character
necrology	(一定期間内の)死亡者名簿;死亡告示
overconfidence	過信|確信
asclepias	genus of chiefly North American perennial herbs: silkweed; milkweed|genus of chiefly North American perennial herbs: silkweed|milkweed
stockyard	(市場などの)家畜置き場
tripos	(英国Cambridge大学の)卒業試験　（Cambridge大学で学位B.A.の）優等試験、優等試験合格者名簿
misspend	使い方を誤る
bagasse	バガス
palaver	おしゃべり|むだ話
balalaika	バラライカ(ギターに似た3弦のロシアの楽器)
ductless	not having a duct; "ductless glands"|not having a duct
antiaircraft	対空|高射砲|対空火砲|対空砲|高角砲
payslip	a slip of paper included with your pay that records how much money you have earned and how much tax or insurance etc. has been taken out
drydock	乾ドック
unvarnished	塗装してない|生地のままの
jotter	書き留める人|メモする人|小さな手帳
baldrick	a wide (ornamented) belt worn over the right shoulder to support a sword or bugle by the left hip
ziti	ジーティ
nonsuch	模範|手本|高徳の人|理想像|鏡鑑|理想|聖人|比類のない人|鑑|亀鑑
personify	を擬人化する|体現する|擬人化する|具体化する
clingy	粘着性の|くっついて離れない
sidearm	横手投げの|横手投げで
piddle	(口語)(子供|動物が)おしっこをする|ダラダラ時を過ごす|食べ物をいやいや食べる
dysphoric	不幸せ|憂い|不幸|悲しい|不仕合わせ|不仕合せ
hoarsely	かすれ声で|ハスキーに|しわがれ声で|しゃがれ声で
objectification	対象化|具体化
statecraft	国政術|政治的手腕
synthetically	総合して|総合的に;合成的に
kuvasz	long-established Hungarian breed of tall light-footed but sturdy white dog; used also as a hunting dog|long-established Hungarian breed of tall light-footed but sturdy white dog|used also as a hunting dog
woozy	頭がぼんやりして|頭がフラフラする|目まいがして|気分が優れない|気分が悪い|混乱した|酔った|酔っぱらった|不鮮明な
synaesthesia	共感覚
equilibrate	bring to a chemical stasis or equilibrium
kosciuszko	Polish patriot and soldier who fought with Americans in the American Revolution (1746-1817)
tacker	a worker who fastens things by tacking them (as with tacks or by spotwelding)|a sewer who fastens a garment with long loose stitches|a hand-held machine for driving staples home
ribcage	胸郭
studiously	注意して|熱心に|慎重に|わざと
kabob	=kebab
dodecahedron	正十二面体
colloquially	俗に
uninformative	lacking information
sundried	dried naturally by the sun; "sun-dried apricots"|dried naturally by the sun
knapweed	any of various plants of the genus Centaurea having purple thistlelike flowers
pitiable	同情すべき|哀れな|惨めな|いじらしい
hairpiece	ヘアピース|入れ毛;(はげ隠し用の小さい)かつら
neckband	(衣服についたひも・レースの)首飾り
legless	not having legs; "a legless man in a wheelchair"|not having legs
reiteration	繰り返し|反復
mortice	=mortise
cholangitis	胆管炎
indiscreet	無分別な
shoelace	靴ひも
pedantry	ペダントリー|衒学趣味(げんがく|知識をひけらかす|自慢すること)
bronchospasm	気管支痙攣
scaramouche	スカラムーシュ
hitchhike	ヒッチハイク
quadriplegia	四肢麻痺
unobtainable	得がたい|手に入らない|入手できない
oho	(驚き・嘲笑・喜びなどを表して)おお|ほほう|ふーん
pastorale	牧歌曲|田園曲
helipad	(商業施設のない)ヘリコプター発着場
impaction	嵌入|嵌入|埋伏歯|嵌入|衝突
unbutton	〜‘の'ボタンをはずす
looseness	緩いこと|ばらばらであること;散漫|締まりのなさ
appendectomy	虫垂切除[手術]
neglectful	不注意な
leptospira	important pathogens causing Weil's disease or canicola fever
reversibly	可逆的
misapprehension	誤解|思い違い
sporanox	イトラコナゾール
reasoning	推理
drawbar	a strong metal bar bearing a hook to attach something to be pulled
hemiplegia	片麻痺|半身不随
agaricus	ハラタケ属
ransack	くまなく探す|掻き回す
umpteenth	何度目かの
meetinghouse	a building for religious assembly (especially Nonconformists, e.g., Quakers)
backcross	戻し交配or戻し交雑|交雑で作った雑種に対し|最初の親のうち片方を再び交配すること|ある特性を別の生物に取り込ませるための品種改良技術の一種
paranasal	鼻傍
javelina	dark grey peccary with an indistinct white collar; of semi desert areas of Mexico and southwestern United States|dark grey peccary with an indistinct white collar|of semi desert areas of Mexico and southwestern United States
worthily	ふさわしく|立派に
athletically	競技的に|運動家らしく
probenecid	プロベネシド
septet	7人(7個)一組のグループ|七重奏(唱)曲
insomuch	〜の程度まで|...ほどに (as|that)・ 〜の故に (as)
expensively	費用をかけて|高価に
salivation	つばを出すこと;だ液分泌過多|流涎(りゅうぜん)
mesenchyme	間葉または間充組織と呼ぶ|胚の胚葉から派生した結合組織|内胚葉･外胚葉の間に生じる
scruple	良心のとがめ|気がとがめる
kronecker	クロネッカー
aare	アール川
boozy	酔っぱらって|大酒を飲む|大酒飲みの
unheralded	without warning or announcement; "they arrived unannounced"; "a totally unheralded telegram that his daughter...died last night"- M.A.D.Howe|without warning or announcement
coolie	苦力|日雇い労働者
pharaonic	of or relating to the ancient Egyptian kings
communalism	地方自治主義|地方分権主義
benzoin	安息香(香水・化粧品に用いられる)
fibreboard	ファイバーボード|繊維板
bastardly	有りもしない
unripe	(果実などが)未熟の|(時機などが)早すぎる;(人が)未発達の
hyperpigmentation	色素沈着過剰
throaty	しわがれ声の
