tollhouse	通行料金徴収事務所
yenta	(Yiddish) a vulgar shrew; a shallow coarse termagant|a vulgar shrew|a shallow coarse termagant|(Yiddish) a woman who talks too much; a gossip unable to keep a secret; a woman who spreads rumors and scandal|a woman who talks too much|a gossip unable to keep a secret|a woman who spreads rumors and scandal
avascular	無血管性
paramour	情夫|情婦|愛人|恋人
terazosin	テラゾシン
enunciation	発表|発音(ぶり)|(理論･主義などの)言明|宣言
returnee	帰国子女
noninstitutional	not institutional
kickstand	キックスタンド(自転車・オートバイなどを倒れないよう支える装置)
lionfish	ミノカサゴ
voiceprint	声紋(声の特徴を表す音響分析図)
glycolytic	解糖|糖分解
dropsy	=edema
kielbasa	キルバサ|ポーランドの豚肉･牛肉の薫製ソーセージ
gayness	同性|同性愛
nutria	ヌートリア(南米原産の水中生活に適応した動物|ビーバーに似る)
hardscrabble	(土地が)苦労してやっと生活できる|不毛の
thoracotomy	surgical incision into the chest walls opening up the pleural cavity
cowpoke	=cowboy
moneyed	金のある|金持ちの|金まみれの
micelle	ミセル
discordance	=discord1|2
vivisect	〈動物〉‘を'生体解剖する|生体解剖をする
coffeepot	コーヒー沸かし器
handbill	広告ビラ|散らし
drizzly	霧雨の[降る]
sweatsuit	スウェットスーツ|スエットスーツ
unpolluted	純粋
angostura	アンゴスツラビターズ(南米産の木の皮から作り|アルコールの香料に用いる)
menander	comic dramatist of ancient Greece (342-292 BC)
mantelpiece	暖炉の前飾り
dreadnaught	battleship that has big guns all of the same caliber
imitator	模倣者|偽造者
cumulation	堆積|山|積み重ねたもの
stegosaurus	剣竜
meerschaum	〈U〉(パイプの火皿に用いる)海泡(かいほう)石|〈C〉火皿が海泡石製のパイプ
cartouch	カルトゥーシュ
floodgate	(水量の調節をする)水門
impiety	不信心|不敬|不孝
hindquarter	(牛・羊などの体の)後四半部の肉・後部・臀部・《複数形で》(動物の足を含めた)腰から下の部分
rabbet	a rectangular groove made to hold two pieces together|join with a rabbet joint|cut a rectangular groove into
caesium	=cesium
suddenness	突然
baneful	有害な|有毒な
suppurative	relating to or characterized by suppuration
allegiant	忠順
butene	ブテン|ブチレン
retrovir	ジドブジン
furtively	ひそかに
betrayer	裏切り者|売国奴|誘惑者
lovebird	つがい鳥(ボタンインコの俗称)|《複数形で》《話》愛し合っている恋人同士
homogeneously	均一|均質
flunky	事大主義者
cycad	ソテツ(蘇鉄)
pish	くだらんこと|ウイスキー|フンと言う
domesticate	家庭的にする
pastureland	牧草地|牧野|牧場|放牧地|牧地|牧|草原
arrowroot	クズウコン(病人食として用いられた熱帯アメリカ産の植物)
jostle	乱暴に押す|押しのける|競いあう
subbase	the lowest molding of an architectural base or of a baseboard
handsaw	(片手で使う)手のこぎり
densification	圧縮
nostoc	ネンジュモ
misogynistic	hating women in particular
thermometry	温度測定
castrate	去勢する|精巣を除去する|骨抜きにする
humph	ふふん
splenomegaly	巨脾症|脾腫(ひしゅ)
maternally	in a maternal manner; as a mother; "she loved her students almost maternally"|in a maternal manner|as a mother
bandolier	(兵士が肩からかける幅広の)弾薬帯|負い革
flavouring	塩加減|シーズニング|調味料|加味|塩味|香辛料|塩梅
scrunch	ボリボリかむ|(紙などを)丸める|押しつぶす|ばりばり噛む
expwy	expressway
radiopharmaceutical	放射性医薬品
staggeringly	甚|いたく|痛く|とっと|甚く
schmo	うすのろ|まぬけ　馬鹿
thyroidectomy	甲状腺摘除
wrongdoer	悪事を働く人|犯罪者|悪事を働く者|非行者
hydrous	水を含む;(鉱物・化合物が)含水の
ilmenite	チタン鉄鉱
blotchy	シミだらけの
conk	パンチ|一撃|縮れ毛を(アルカリ溶液などで)伸ばすこと
anorectal	肛門直腸
pronominal	代名詞の|代名詞のような
radiometer	ラジオメーター
klinefelter	クラインフェルター
cacique	black-and-red or black-and-yellow orioles of the American tropics
pillion	(馬に堂乗する人の)添え鞍|(オートバイなどの)後部座席
palladian	referring to or relating to or having the style of architecture created by Andrea Palladio; "the much imitated arch and column compositions known as the Palladian motif"|referring to or relating to or having the style of architecture created by Andrea Palladio
recidivist	常習犯
unswerving	(意志などが)確固とした|不動の
cooly	クーリー
theretofore	それ以前に
sonority	鳴り響くこと|反響|朗々とした話
cosmopolis	国際都市
dabbler	カモ(鳥)|水遊びをする人|道楽半分に事をする人|素人
straightedge	直[線]定期
skuld	goddess of fate: a dwarf who personified the future
volapuk	one of the first artificial language constructed for use as an auxiliary international language; based largely on English but with some German and French and Latin roots|one of the first artificial language constructed for use as an auxiliary international language|based largely on English but with some German and French and Latin roots
sellotape	接着剤|セロテープ
nitrofurantoin	ニトロフラントイン
vociferously	in a vociferous manner; "he complained vociferously"|in a vociferous manner
stomata	stomaの複数形
monarchical	having the characteristics of or befitting or worthy of a monarch; "monarchical gestures"; "monarchal pomp"|having the characteristics of or befitting or worthy of a monarch|ruled by or having the supreme power resting with a monarch; "monarchal government"; "monarchical systems"|ruled by or having the supreme power resting with a monarch
opthalmic	of or relating to or resembling the eye; "ocular muscles"; "an ocular organ"; "ocular diseases"; "the optic (or optical) axis of the eye"; "an ocular spot is a pigmented organ or part believed to be sensitive to light"|of or relating to or resembling the eye
vanadate	a salt or ester of vanadic acid; an anion containing pentavalent vanadium|a salt or ester of vanadic acid|an anion containing pentavalent vanadium
tetraploid	4倍体(4つで1対から成る染色体のセットを持つ細胞)
perphenazine	ペルフェナジン
immodest	慎みのない
oviduct	卵管
damar	ダマル島
sympatric	同所性の|(種分化について同様か重なった地理的地域において起きる)
freethinker	自由思想家(既成の考え|特キリスト教会の型にはまった考え方にとらわれない人)
inadmissibility	unacceptability as a consequence of not being admissible
phenylbutazone	フェニルブタゾン
wassail	(もと英国で用いた)乾杯のあいさつ|《おもに文》酒宴|酒盛り|乾杯する;酒盛りする|〜‘に'乾杯する
asparaginase	アスパラギナーゼ
dinoflagellate	渦鞭毛藻
acinar	腺房|腺房
redecorate	改装する|模様替えをする|装飾し直す
occident	西洋|新世界|西半球
beatification	幸せにすること
oppositely	in an opposite position
biochemically	生化学的に
eviscerate	(議論などを)骨抜きにする|(動物の腸を)抜く
icecap	(高山・極地などの)万年雪
puka	South American shrub or small tree having long shining evergreen leaves and panicles of green or yellow flowers|small roundheaded New Zealand tree having large resinous leaves and panicles of green-white flowers
pseudonymous	ペンネームで書かれた|偽名(変名)を用いる
oxime	オキシム
berberis	large genus of shrubs of temperate zones of New and Old Worlds
premeditation	前もって慎重に計画すること
unsettle	動揺させる(する)|乱す|不安にする|取り乱す
bauhinia	mountain ebony, orchid tree
tearfully	めそめそ|泣く泣く
salaat	the second pillar of Islam is prayer; a prescribed liturgy performed five times a day (preferably in a mosque) and oriented toward Mecca|the second pillar of Islam is prayer|a prescribed liturgy performed five times a day (preferably in a mosque) and oriented toward Mecca
agoraphobic	広場(空間)恐怖症にかかった
sinter	温泉沈殿物|湯の花|焼結製品|焼結する
villus	絨毛
victrola	a brand of gramophone
sternal	of or relating to or near the sternum
pugnacious	けんか好きな|けんか早い
parainfluenza	パラインフルエンザウイルスは|関連した数種類のウイルスを含み|感冒からインフルエンザ様症候群|肺炎まで多数の呼吸器疾患を引き起こす
bedeck	《文》(〜で)〜'を'飾りたてる《+『名』+『with』+『名』》
trumbo	ダルトン・トランボ
intercalation	閏
thermic	relating to or associated with heat; "thermal movements of molecules"; "thermal capacity"; "thermic energy"; "the caloric effect of sunlight"|relating to or associated with heat
rustproof	(金属が)さび防止加工した|さびのつかない|〜‘に'さび止めをする
sensitise	感作|感作|感作|感作
cyanogen	シアン
topicality	〈U〉話題になっていること(状態)|〈C〉《複数形で》時事問題
oftener	more often or more frequently
brolly	コウモリ傘|パラシュート
wintery	wintry
icosahedral	of or relating to an icosahedron
adventuresome	大胆な|勇敢な
versant	山腹|中腹
flaxen	亜麻の|亜麻製の|亜麻色の
pseud	如何様師|ペテン師|騙り|とっこ|詐欺師|欺瞞者|ぺてん師|いかさま師
mender	修理(改良)者
cytokinin	サイトカイニン
tempter	〈C〉誘惑者|《the T-》悪魔(the Devil)
precedential	having precedence (especially because of longer service); "precedential treatment for senior members of the firm"|having precedence (especially because of longer service)
vampirism	吸血鬼
hierarchic	=hierarchical
labetalol	ラベタロール
regularize	規制|律する|規正|紀律|管する|規定|統制|管理|規律|規整
holloware	silverware serving dishes
lovelorn	恋人に捨てられた;失恋に悩んでいる
salvageable	capable of being saved from ruin; "their marriage was not salvageable"|capable of being saved from ruin
counterrevolutionary	反革命主義者
unevenness	the quality of being uneven and lacking uniformity|the quality of being unbalanced
emissive	放射性の;放射の
tractate	論文
hydrolyze	加水分解する
copybook	習字の手本帳|《米》複写薄
hootenanny	フォークソングの集まり(会)
haem	ヘム
encasement	the act of enclosing something in a case
psychosexual	性心理の
brakeman	ブレーキ係|制動手
regretful	(人が)後悔している
yawl	(2本マストの)小型帆船|(オールでこぐ)船載ボート
bigram	a word that is written with two letters in an alphabetic writing system
marginality	周縁性
juristic	法律専門家の|法学者の|法律上の
valgus	外反
presort	並べ替え済み
syncretism	the union (or attempted fusion) of different systems of thought or belief (especially in religion or philosophy); "a syncretism of material and immaterial theories"|the union (or attempted fusion) of different systems of thought or belief (especially in religion or philosophy)|the fusion of originally different inflected forms (resulting in a reduction in the use of inflections)
bowline	もやい結び(船をつなぎ止めるときの結び方)
nixie	宛先不明郵便物
perceivable	感知できる|知覚できる|認知できる
screwup	the complete mismanagement or mishandling of a situation; "a typical bureaucratic screwup"|the complete mismanagement or mishandling of a situation
licentious	放縦な|放蕩な
milfoil	鋸草
byre	牛小屋|牛舎
abseil	(mountaineering) a descent of a vertical cliff or wall made by using a doubled rope that is fixed to a higher point and wrapped around the body|a descent of a vertical cliff or wall made by using a doubled rope that is fixed to a higher point and wrapped around the body|lower oneself with a rope coiled around the body from a mountainside; "The ascent was easy--roping down the mountain would be much more difficult and dangerous"; "You have to learn how to abseil when you want to do technical climbing"|lower oneself with a rope coiled around the body from a mountainside
accretive	growing by accretion
rubbing	摩擦|摩擦
intransigent	非妥協的な
wheatear	small songbird of northern America and Eurasia having a distinctive white rump
postbag	《a ~》《話》(ある人に一度に配達された)郵便物|=mailbag
oxazepam	オキサゼパム
haemolytic	溶血性
polyvalent	containing several antibodies each capable of counteracting a specific antigen; "a polyvalent vaccine"|containing several antibodies each capable of counteracting a specific antigen|having more than one valence, or having a valence of 3 or higher
varicocele	精索静脈瘤
subcompact	サブコンパクトカー(中型自動車(compact car)より一回り小さい車)
fusiform	tapering at each end
parenthetically	in a parenthetical manner; "he added parenthetically that he would not attend the wedding ceremony"|in a parenthetical manner
bounder	育ちの悪いがさつ者|下品な成り上がり者
agog	(期待･興奮で)わくわくして|～したくてうずうずして
nailhead	釘頭|釘頭
mastoid	乳様突起の|〈C〉乳様突起(耳の後ろの側頭骨にある)
liii	being three more than fifty
immunologically	免疫学的
millstream	水車用導水路の流れ
mithra	ancient Persian god of light and truth; sun god|ancient Persian god of light and truth|sun god
mimer	パントマイマー|イムアーティスト|マイマー|パントマイミスト
weightlifter	重量あげ競技者
phosgene	ホスゲン
metastasize	転移する
nightdress	=nightgown
undecorated	not decorated with something to increase its beauty or distinction
ethnocentrism	自民族中心主義
hooliganism	バンダリズム
tartuffe	a hypocrite who pretends to religious piety (after the protagonist in a play by Moliere)
belligerence	交戦|闘争性
mantell	マンテル
gouty	痛風の|痛風にかかった
acellular	無細胞
oxytetracycline	オキシテトラサイクリン|オキシテトラサイクリン塩酸塩|テラマイシン
inviolability	侵してはならないこと|不可侵性
resister	抵抗する人
courser	駿馬(しゅんめ)
obstructionist	議事妨害者
aerosolized	エアロゾル化
galago	ガラゴ科
walkover	楽勝
hydronephrosis	水腎症
corbel	持ち送り積み(壁面から突き出た桁(けた)・はりの受け材)
neosporin	trade name for a topical drug containing several antibacterials; used as an ointment for skin irritations and in the form of eyedrops for minor eye infections|trade name for a topical drug containing several antibacterials|used as an ointment for skin irritations and in the form of eyedrops for minor eye infections
jubilate	悦ぶ|喜ぶ|歓喜
heth	the 8th letter of the Hebrew alphabet
epistaxis	鼻血|鼻出血
sylph	空気の精|ほっそりした美しい女
deoxycytidine	デオキシシチジン|シチジン
electrograph	an apparatus for the electrical transmission of pictures|electrical device used for etching by electrolytic means
syzygy	the straight line configuration of 3 celestial bodies (as the sun and earth and moon) in a gravitational system
medicolegal	法医学的
incongruent	not congruent
erogenous	(体のある部分が)性感を刺激する
abridgment	抄本|縮約
lexeme	(ˈlɛksiːm)|(文法)語彙素|言語学の形態論的単位|異なる形態だが同じ語の集合|例|child-children|go-goes-went-gone-going|big-bigger-biggest|各同じ語彙素
materialization	具体化|現れ|現われ|表れ|所産
humulin	a form of insulin (trade name Humulin) made from recombinant DNA that is identical to human insulin; used to treat diabetics who are allergic to preparations made from beef or pork insulin|a form of insulin (trade name Humulin) made from recombinant DNA that is identical to human insulin|used to treat diabetics who are allergic to preparations made from beef or pork insulin
cynosure	注目(賞賛)の的
sourpuss	(渋い顔をする)気難しい人|ひねくれ者
chalcopyrite	黄銅鉱(銅の原鉱)
expansionism	拡張論(政策)
systematize	順序立てる|組織立てる|系統分類|組織だてる|順序立つ|系統づける|系統立てる|体系づける|系統化|系列化
horseplay	馬鹿騒ぎ
mistreat	虐待|酷使する
radicchio	prized variety of chicory having globose heads of red leaves
kobo	小保
stiffener	堅くする人(物);(表紙・えりなどの)芯(しん);〈U〉補強材
extravasation	噴火|爆発|噴出
pavane	パバーヌ|パバーヌ
floret	小花
entreaty	懇願
flypaper	はえ取り紙
dunlin	ハマシギ
cohabit	同棲する
invitee	招待客
residuary	(法律上)残余遺産の取得権を持つ|残留物の
mournfully	しんみり|悲しそうに
officialdom	《集合的に》官僚|役人|《しばしば軽べつして》お役所風なやり方
wynd	小路|路地
passkey	=master key
canetti	カネッティ
vitrine	陳列棚|ケース|ショーケース
splitting	裂ける|割れる|割れるように痛む|キリキリ|腹が痛む様子
ichthyosis	魚鱗癬
headlock	ヘッドロック(レスリングで相手の頭を脇の下で締めつける技)
marvellously	驚くほど|すばらしく
doxology	栄光の賛歌|頌栄(しょうえい)(礼拝で歌う短い賛美歌)
okapi	オカピ(アフリカ産;キリンに似る)
hyperbola	双曲線
rigatoni	リガトーニ
syndicalist	サンディカリズム主義者|サンディカリズム主義の
luxuriate	大いに楽しむ|ぜいたくをする|繁茂する|ぜいたくに暮らす|ふける
immunocompetent	免疫応答性
fundament	ベース|基礎|下地|基盤|基|基本|根底|根本|土台|根柢|尻|ヒップ|御居処|どんけつ|尻臀|臀部|臀|御尻|お尻|おいど|ベース|根元|基部|基礎|根っ子|最下部|基|基底|礎|根積
triazolam	トリアゾラム
phantasmagoria	(夢や想像上の)めまぐるしく移り変わる光景|走馬灯のように去来する幻影
papilla	乳頭(状小突起)|柔軟小突起
orderliness	秩序(順序)正しさ|行儀よいこと
glutinous	粘着性の
liniment	塗布薬|塗り薬
gula	食過ぎ|喰過ぎ|食過|食い過ぎ|食べ過ぎ|過食|暴食|食いすぎ|喰い過ぎ
underling	下役|手下
ulema	ウラマー
roundhead	a brachycephalic person|a supporter of parliament and Oliver Cromwell during the English Civil War
ivry	a battle (1590) in which the Huguenots under Henry IV defeated the Catholics under the duke of Mayenne
frypan	フライパン
primitivism	原始主義(自然ないし自然的なものを人間的価値の規準とする立場)
chateaubriand	French statesman and writer; considered a precursor of the romantic movement in France (1768-1848)|French statesman and writer|considered a precursor of the romantic movement in France (1768-1848)|a very thick center cut of beef tenderloin
tapenade	a spread consisting of capers and black olives and anchovies made into a puree with olive oil
hundredweight	重量の単位({略}『cwt.』)(《英》112ポンド=50.8キロ;《米》100ポンド=45.36キロ)
dishware	瀬戸物
supercoil	スーパーコイル
hyphenate	ハイフンでつなぐ
tumorigenic	腫瘍形成性の
disbarment	弁護士資格のはく奪
burin	ビューリン
volution	観世水
antennal	触角の
rimu	tall New Zealand timber tree
coiffure	ヘアスタイル
brassard	腕章
windtalker	a secret agent who was one of the Navajos who devised and used a code based on their native language; the code was unbroken by the Japanese during World War II|a secret agent who was one of the Navajos who devised and used a code based on their native language|the code was unbroken by the Japanese during World War II
aliment	食物(food);滋養物|扶養;扶養料
tokay	トーケイ|トーケイ
eupatorium	large genus of chiefly tropical herbs having heads of white or purplish flowers
spindly	細長い
matriarchal	characteristic of a matriarchy
pupillary	of or relating to the pupil of the eye
fauld	a piece of armor plate below the breastplate
gavotte	ガボット(古いフランス舞踊;その曲)
courante	a court dance of the 16th century; consisted of short advances and retreats|a court dance of the 16th century|consisted of short advances and retreats
gravida	the number of the pregnancy that a woman is in; "in her third pregnancy a woman is said to be gravida three"|the number of the pregnancy that a woman is in|a pregnant woman
ambassadorial	大使の|使節の
penetrative	浸透性の|入り込む|鋭い|鋭敏な;感銘を与える
rearm	再軍備する
kurrajong	カラジョング
leakproof	漏れ防止の
ninjutsu	the traditional Japanese method of espionage; involves stealthy movements and the use of camouflage|the traditional Japanese method of espionage|involves stealthy movements and the use of camouflage
betatron	ベータトロン
cartilaginous	軟骨の
quester	探求者|探究者
ignominy	屈辱|不名誉
odourless	having no odor; "odorless gas"; "odorless flowers"|having no odor
reseat	〈劇場など〉‘に'新しい席を設ける|〈人〉‘を'再び座らせる
dismally	in a cheerless manner; "in August 1914 , there was a dismally sentimental little dinner, when the French, German, Austrian and Belgian members of the committee drank together to the peace of the future"|in a cheerless manner
unjustifiably	もっての外
browbeat	脅す
postbox	《おもに英》郵便ポスト(《米》mailbox)
keister	尻|ヒップ|御居処|どんけつ|尻臀|臀部|臀|御尻|お尻|おいど
stringently	厳重に|儼として|びしびし|厳として|ぴしぴし|厳に
ectodermal	＜ectoderm|外胚葉(発生初期における胚の外表面の細胞層|将来表皮や中枢神経系|感覚器官などに発達する)の|性の
popularise	俗了|大衆化
cornsilk	each of the long filamentous styles that grow as a silky tuft at the tip of an ear of Indian corn
solvability	解決しやすさ|解きやすさ
contrail	飛行機雲
superficiality	〈U〉(内容・性質が)表面的であること|皮相|浅薄さ|〈C〉浅薄なもの
spotlessly	in a spotless manner; "spotlessly clean"|in a spotless manner
immobilisation	固定化|固定化
estriol	エストリオール
adsorbate	吸着物
quoit	《複数形で》《単数扱い》鉄輪投げ|{C}(鉄輪投げの)鉄輪　尻の穴
stocktaking	在庫調べ|たなおろし|(現状の)調査
eyedrop	a drop from an eye dropper|a method of irrigating the eye used by ophthalmologists
mountie	(カナダの)騎馬警官隊員
congener	同種|同類の物(人)|同属の動植物
pogge	northern Atlantic sea poacher
disulfiram	ジスルフィラム
adductor	内転筋|貝柱
momus	god of blame and mockery
avocation	副業|趣味|職業
buchenwald	a Nazi concentration camp for Jews in World War II that was located in central Germany
misrule	悪政|矢政|〜‘の'統治(政治)を誤る
unasked	問われない|求められない|頼まれない|招かれない
copiously	山山|うんと|たくさん|聢り|豊富|確り|ふんだんに|沢山|大量|多く
narthex	拝廊(教会の正面入口から本堂の至る広間になっている廊下)
aminophylline	アミノフィリン
whiskered	ほおひげをはやした
somatotropin	成長ホルモン|ソマトトロピン
pantheist	汎神(はんしん)論者
wordfinder	a thesaurus organized to help you find the word you want but cannot think of
perpetration	悪事を犯すこと;〈C〉犯行|悪事
mytilus	type genus of the family Mytilidae: smooth-shelled marine mussels
candlepower	燭光(しょっこう)(candelaで測る)
chinaware	=china2
fistfight	拳骨での殴り合い
hollowware	銀・ガラス・銀器製の深皿(容器)
orthodontia	歯列矯正術
immunosuppressant	免疫抑制剤
threescore	60の|60束の|~and ten 70束
monism	(哲学理論での)一元論
dichromate	重クロム酸塩
jacksonian	a follower of Andrew Jackson or his ideas|of or pertaining to Andrew Jackson or his presidency or his concepts of popular democracy
simper	作り笑い(をする)|にやにや(にたにた)笑う
polyphase	多相
keenness	熱心さ|切迫|鋭さ|鋭敏|聡明
swathe	包帯
scornfully	軽蔑して
puerperal	出産の|分娩(ぶんべん)の;産婦の
magnetize	を磁化する|磁気を与える|磁化する|引き付ける|魅了する
worldliness	俗っぽさ|俗心
unpasteurized	not having undergone pasteurization
howbeit	〜とはいえ(nevertheless)|〜だけれど(although)
altarpiece	祭壇画|祭壇の
gameboard	盤|ボード|ゲーム盤
protectively	in a protective manner; "he bent protectively over the woman"|in a protective manner
numinous	evincing the presence of a deity; "a numinous wood"; "the most numinous moment in the Mass"|evincing the presence of a deity
braze	〈金属〉'を'はんだづけ(ろうづけ)する
noetic	知性的|理性的|知的|主知的
sixer	六|６|６つ|半ダース|六つ|陸
sisterly	姉妹の;姉妹のような;仲のよい
windbreak	防風林|(塀などの)風よけ
cowherd	牛飼い
simulacrum	幻影|面影||像|似姿|にせ物
tanguy	タンギー
submerse	=submerge
keratoconus	円錐角膜
ghostwrite	〈著作・演説原稿など〉‘を'代作する|代作する
sixpack	(ビールやかん詰めなどの)6本入り[パック] = six-pack
intussusception	嵌入|陥入
avidity	熱心さ|強い熱意|貪欲
thrombospondin	トロンボスポンジン(血小板タンパク質の一種)
canvasback	オオホシハジロ(北米産の野生ガモ)
vindicator	a person who argues to defend or justify some policy or institution; "an apologist for capital punishment"|a person who argues to defend or justify some policy or institution
accustom	習慣づける|を慣らす|に対して慣らす
quantal	of or relating to a quantum or capable of existing in only one of two states
fafnir	ファフニール
dicarboxylic	ジカルボキシル
megalomania	誇大癖|誇大妄想
nuthouse	精神病院
naiad	(ギリシア神話・ローマ神話で|少女の姿をして川や泉に住む)水の精
graphology	筆跡学|筆跡観相学
egad	やあ|いやはや!
viciousness	酷薄さ|惨忍さ|残忍性|凶悪さ|残忍さ|殺伐さ|無残|酷薄|暴虐|無惨
vandalise	destroy wantonly, as through acts of vandalism; "vandalize the park"|destroy wantonly, as through acts of vandalism
norvir	リトナビル
blucher	上端が両側に折り重なる皮製の半長靴
tyramine	チラミン
pyrethrum	除虫菊|除虫菊|除虫菊|除虫菊
dippy	気がふれた|ばかげた
unspecific	大掴|大雑把|おおざっぱ|大まか|大掴み
arethusa	any of several bog orchids of the genus Arethusa having 1 or 2 showy flowers
molecularly	分子的
benzocaine	アミノ安息香酸エチル
pantograph	写図器(一端を固定して伸縮できるパンタグラフ状の器具;比率を変えて写図できる)|(電車の)パンタグラフ
poetess	女流詩人
bowhead	large-mouthed Arctic whale
leguminous	マメの|マメ科の
